Offset,Order,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,instructions.started,text.started,text.stopped,instructions.stopped,test_routine.started,sound_stim.started,visual_stim.started,sound_stim.stopped,visual_stim.stopped,test_routine.stopped,respond_now.started,text_2.started,key_resp_2.started,respond_now.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
2,visual_first,2,5,19,3,78.10442019999027,,,,,,78.09111059998395,80.10470666666903,78.10442019999027,,79.10432730001048,81.0849201999954,81.08499509998364,81.09034269998665,81.09034269998665,81.37419169998611,v,0.280895200005034,None,p4,001,2024-12-06_18h38.15.873,soloproj6,2024.1.5,None,2024-12-06 18h38.34.574735 +0530,
3,audio_first,2,6,20,6,81.388531900011,,,,,,81.37562390000676,81.38872746666699,84.39007229998242,82.38891489998787,85.3901460999914,85.37501069999416,85.37507750000805,85.3901460999914,85.3901460999914,85.7589328000031,s,0.3587258000043221,None,p4,001,2024-12-06_18h38.15.873,soloproj6,2024.1.5,None,2024-12-06 18h38.34.574735 +0530,
0,simulataneous,3,0,21,0,85.77404620000743,,,,,,85.76038399999379,85.77363856666877,85.77404620000743,,86.77397789998213,86.75893300000462,86.75899549998576,86.77397789998213,86.77397789998213,87.1101878999907,b,0.3333307000284549,None,p4,001,2024-12-06_18h38.15.873,soloproj6,2024.1.5,None,2024-12-06 18h38.34.574735 +0530,
3,visual_first,3,1,22,5,87.1245004000084,,,,,,87.11161940000602,90.1252542666664,87.1245004000084,91.12895710000885,88.12450070001069,91.12228889999096,91.12235590000637,91.12895710000885,91.12895710000885,91.41118309999001,v,0.27041760002612136,None,p4,001,2024-12-06_18h38.15.873,soloproj6,2024.1.5,None,2024-12-06 18h38.34.574735 +0530,
3,audio_first,3,2,23,6,91.42571589999716,,,,,,91.41260179999517,91.42585926666312,94.42740980000235,92.42613179999171,95.42744219998713,95.4121230999881,95.41218630000367,95.42744219998713,95.42744219998713,95.71279449999565,s,0.26931449997937307,None,p4,001,2024-12-06_18h38.15.873,soloproj6,2024.1.5,None,2024-12-06 18h38.34.574735 +0530,
2,visual_first,3,3,24,3,95.72780990001047,,,,,,95.71422439999878,97.72813166666698,95.72780990001047,,96.72774689999642,98.68924740000512,98.68931620000512,98.69595229998231,98.69595229998231,100.51459740000428,v,1.809168400010094,None,p4,001,2024-12-06_18h38.15.873,soloproj6,2024.1.5,None,2024-12-06 18h38.34.574735 +0530,
1,audio_first,3,4,25,2,100.52931869999156,,,,,,100.5160218999954,100.5292507666493,101.53406469998299,101.53406469998299,102.54671160000726,102.53175200000987,102.53181539999787,102.54671160000726,102.54671160000726,102.98229089999222,b,0.4323914999840781,None,p4,001,2024-12-06_18h38.15.873,soloproj6,2024.1.5,None,2024-12-06 18h38.34.574735 +0530,
1,visual_first,3,5,26,1,102.99726070000906,,,,,,102.98372139999992,103.99769096667684,102.99726070000906,,103.99721649999265,104.94719469998381,104.94726210000226,104.95388829999138,104.95388829999138,106.50026810000418,v,1.535329800011823,None,p4,001,2024-12-06_18h38.15.873,soloproj6,2024.1.5,None,2024-12-06 18h38.34.574735 +0530,
2,audio_first,3,6,27,4,106.51488229999086,,,,,,106.50167769999825,106.51497156665233,108.51618969999254,,109.51610269999946,109.5009202999936,109.5009829000046,109.51610269999946,109.51610269999946,109.98499759999686,s,0.46394689998123795,None,p4,001,2024-12-06_18h38.15.873,soloproj6,2024.1.5,None,2024-12-06 18h38.34.574735 +0530,
1,audio_first,4,0,28,2,109.99950370000442,,,,,,109.98643009999068,109.99957106667377,110.98350549998577,,111.98365059998468,111.96849759999895,111.96856099998695,111.98365059998468,111.98365059998468,112.78611169999931,s,0.7991250999912154,None,p4,001,2024-12-06_18h38.15.873,soloproj6,2024.1.5,None,2024-12-06 18h38.34.574735 +0530,
2,audio_first,4,1,29,4,112.800628099998,,,,,,112.78753890001099,112.80067986666496,114.80182200000854,,115.80186509998748,115.78659159998642,115.78665490000276,115.80186509998748,115.80186509998748,116.37090929999249,s,0.5625784000148997,None,p4,001,2024-12-06_18h38.15.873,soloproj6,2024.1.5,None,2024-12-06 18h38.34.574735 +0530,
0,simulataneous,4,2,30,0,116.38578849998885,,,,,,116.37232659998699,116.38538336666922,116.38578849998885,,117.38677559999633,117.38029219998862,117.38035469999886,117.38677559999633,117.38677559999633,118.05458940000972,s,0.6572054999996908,None,p4,001,2024-12-06_18h38.15.873,soloproj6,2024.1.5,None,2024-12-06 18h38.34.574735 +0530,
2,visual_first,4,3,31,3,118.06970409999485,,,,,,118.05600399998366,120.07014416664994,118.06970409999485,121.07889760000398,119.06972800000221,121.07226039998932,121.07232810001005,121.07889760000398,121.07889760000398,121.7727823999885,v,0.6795634000154678,None,p4,001,2024-12-06_18h38.15.873,soloproj6,2024.1.5,None,2024-12-06 18h38.34.574735 +0530,
3,visual_first,4,4,32,5,121.78783919999842,,,,,,121.77421279999544,124.78854686665387,121.78783919999842,125.78974020000896,122.7877373000083,125.7825513999851,125.78262700000778,125.78974020000896,125.78974020000896,126.64137050000136,v,0.839196599990828,None,p4,001,2024-12-06_18h38.15.873,soloproj6,2024.1.5,None,2024-12-06 18h38.34.574735 +0530,
1,visual_first,4,5,33,1,126.65639610000653,,,,,,126.64280219998909,127.6567086666512,126.65639610000653,,127.6563734000083,128.64118509998661,128.64125349998358,128.64786349999486,128.64786349999486,129.09311310001067,v,0.4408789000008255,None,p4,001,2024-12-06_18h38.15.873,soloproj6,2024.1.5,None,2024-12-06 18h38.34.574735 +0530,
3,audio_first,4,6,34,6,129.10692729998846,,,,,,129.09454009999172,129.10691436665755,132.10844889999134,130.1147643000004,133.10831280000275,133.09337079999386,133.0934345999849,133.10831280000275,133.10831280000275,133.76060720000532,s,0.6436690000118688,None,p4,001,2024-12-06_18h38.15.873,soloproj6,2024.1.5,None,2024-12-06 18h38.34.574735 +0530,
