Offset,Order,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,instructions.started,text.started,instructions.stopped,test_routine.started,visual_stim.started,visual_stim.stopped,sound_stim.started,test_routine.stopped,respond_now.started,text_2.started,key_resp_2.started,respond_now.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,sound_stim.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
1,visual_first,2,5,19,1,77.94631379999919,,,,,77.93276320002042,77.94631379999919,78.94633970002178,78.94680176666976,79.9410046999983,79.94107190001523,79.94762720001745,79.94762720001745,80.6322583000001,v,0.6709379999956582,None,79.94762720001745,p5,001,2024-12-06_18h41.06.486,soloproj6,2024.1.5,None,2024-12-06 18h41.22.988741 +0530,
1,audio_first,2,6,20,2,80.64695350002148,,,,,80.63370930001838,81.6526417999994,82.66442200000165,80.64695816667906,82.64932200001203,82.64938590000384,82.66442200000165,82.66442200000165,83.90027170002577,b,1.2279622000060044,None,81.6526417999994,p5,001,2024-12-06_18h41.06.486,soloproj6,2024.1.5,None,2024-12-06 18h41.22.988741 +0530,
3,visual_first,3,0,21,5,83.91528140002629,,,,,83.90172910000547,83.91528140002629,84.91529840001022,86.91599796669131,87.89013910002541,87.8902144000167,87.89979830000084,87.89979830000084,90.18589059999795,v,2.279664600006072,None,,p5,001,2024-12-06_18h41.06.486,soloproj6,2024.1.5,None,2024-12-06 18h41.22.988741 +0530,
3,audio_first,3,1,22,6,90.20062640000833,,,,,90.18711250001797,93.20222430001013,94.20216790001723,90.20065886667386,94.18700500001432,94.18707050001831,94.20216790001723,94.20216790001723,94.9713290000218,s,0.7525353000091854,None,91.20841500000097,p5,001,2024-12-06_18h41.06.486,soloproj6,2024.1.5,None,2024-12-06 18h41.22.988741 +0530,
2,visual_first,3,2,23,3,94.98624910000945,,,,,94.97281030000886,94.98624910000945,95.98618030000944,96.98666896668534,97.97677790001035,97.97684740001569,97.9869457000168,97.9869457000168,98.77276050002547,v,0.7813957000034861,None,97.9869457000168,p5,001,2024-12-06_18h41.06.486,soloproj6,2024.1.5,None,2024-12-06 18h41.22.988741 +0530,
2,audio_first,3,3,24,4,98.78727140001138,,,,,98.77421220001997,100.78844600002049,101.78839830000652,98.78730826668131,101.77341280001565,101.77347820001887,101.78839830000652,101.78839830000652,102.44061420002254,s,0.6385863999894354,None,99.78764429999865,p5,001,2024-12-06_18h41.06.486,soloproj6,2024.1.5,None,2024-12-06 18h41.22.988741 +0530,
1,visual_first,3,4,25,1,102.45574480001233,,,,,102.44205170002533,102.45574480001233,103.45568230000208,103.4561499666927,104.40737410000293,104.40744210002595,104.41408040001988,104.41408040001988,109.11008000001311,s,4.688887800002703,None,,p5,001,2024-12-06_18h41.06.486,soloproj6,2024.1.5,None,2024-12-06 18h41.22.988741 +0530,
0,simulataneous,3,5,26,0,109.12499030001345,,,,,109.11150840000482,109.12499030001345,110.1255674000131,109.12464606669188,110.11890310002491,110.11896980000893,110.1255674000131,110.1255674000131,113.6117716000008,v,3.4827819999773055,None,110.1255674000131,p5,001,2024-12-06_18h41.06.486,soloproj6,2024.1.5,None,2024-12-06 18h41.22.988741 +0530,
1,audio_first,3,6,27,2,113.6262908000208,,,,,113.6132215000107,114.61036560000503,115.61044140000013,113.62635526666806,115.59520330000669,115.59526670002379,115.61044140000013,115.61044140000013,117.17976890000864,v,1.5536892999953125,None,,p5,001,2024-12-06_18h41.06.486,soloproj6,2024.1.5,None,2024-12-06 18h41.22.988741 +0530,
0,simulataneous,4,0,28,0,117.19477070000721,,,,,117.18122500000754,117.19477070000721,118.19477110001026,117.19432176667421,118.17957180002122,118.17963470000541,118.19477110001026,118.19477110001026,120.13086260002456,b,1.9306053000036627,None,,p5,001,2024-12-06_18h41.06.486,soloproj6,2024.1.5,None,2024-12-06 18h41.22.988741 +0530,
1,audio_first,4,1,29,2,120.14535190002061,,,,,120.1323067000194,121.14641560000018,122.14624240002013,120.14540386668911,122.13112940001884,122.13119320000987,122.14624240002013,122.14624240002013,122.79867109999759,s,0.6419291999773122,None,121.14641560000018,p5,001,2024-12-06_18h41.06.486,soloproj6,2024.1.5,None,2024-12-06 18h41.22.988741 +0530,
3,audio_first,4,2,30,6,122.81313770002453,,,,,122.80012660002103,125.81475869999849,126.81474500001059,122.81315986666984,126.79955330002122,126.79961690001073,126.81474500001059,126.81474500001059,129.20087830000557,b,2.3775476000155322,None,,p5,001,2024-12-06_18h41.06.486,soloproj6,2024.1.5,None,2024-12-06 18h41.22.988741 +0530,
2,audio_first,4,3,31,4,129.2155568000162,,,,,129.20232670000405,131.21679130001576,132.21685779999825,129.21558686669258,132.20158730002004,132.20165030000499,132.21685779999825,132.21685779999825,135.9702726000105,v,3.736961699993117,None,,p5,001,2024-12-06_18h41.06.486,soloproj6,2024.1.5,None,2024-12-06 18h41.22.988741 +0530,
3,visual_first,4,4,32,5,135.98536109999986,,,,,135.9717052000051,135.98536109999986,136.98518630000763,138.98604106667725,139.96710130001884,139.9671958000108,139.97421280000708,139.97421280000708,141.20570950000547,v,1.2250725000048988,None,,p5,001,2024-12-06_18h41.06.486,soloproj6,2024.1.5,None,2024-12-06 18h41.22.988741 +0530,
1,visual_first,4,5,33,1,141.22067680000328,,,,,141.20716960000573,141.22067680000328,142.22058970000944,142.22104706667986,143.2080206000246,143.20811050001066,143.21469230001094,143.21469230001094,143.739856900007,v,0.5091054000076838,None,,p5,001,2024-12-06_18h41.06.486,soloproj6,2024.1.5,None,2024-12-06 18h41.22.988741 +0530,
2,visual_first,4,6,34,3,143.7548832000175,,,,,143.74131490002037,143.7548832000175,144.75482300002477,145.75527066667954,146.76018800001475,146.76025430002483,146.7669290000049,146.7669290000049,147.29133760000695,v,0.5185116000066046,None,146.7669290000049,p5,001,2024-12-06_18h41.06.486,soloproj6,2024.1.5,None,2024-12-06 18h41.22.988741 +0530,
