key_resp.corr,key_resp.rt,,,,
1,0.3938791,,,,
1,0.4155702,,,,
1,0.4747654,,,,
1,0.3743064,,,,
1,0.4498718,,,,
1,0.4976942,,,,
1,0.4592643,,,,
1,0.4655547,,,,
1,0.4565885,,,,
1,0.3888718,,,,
1,0.8449708,,,,
1,0.413404,,,,
1,0.6074939,,,,
1,0.4956027,,,,
1,0.697212,,,,
1,0.363457,,,,
1,0.4792152,,,,
1,0.3984288,,,,
1,35.2849508,,,,
1,0.7256488,,,,
1,0.4354749,,,,
1,0.3932188,,,,
1,0.4008591,,,,
1,0.3931469,,,,
1,1.0193849,,,,
1,0.3636153,,,,
1,0.5353056,,,,
1,0.6106668,,,,
1,0.3201862,,,,
1,1.0181748,,,,
1,2.0442804,,,,
1,0.5912157,,,,
1,1.1246731,,,,
1,0.8648062,,,,
1,0.38682,,,,
1,0.5046947,,,,
1,0.5313304,,,,
1,1.5145511,,,,
1,0.4326101,,,,
1,0.4257269,,,,
1,0.4276589,,,,
1,0.4947724,,,,
1,0.5333243,,,,
1,0.4434108,,,,
1,0.4828166,,,,
1,0.3936315,,,,
1,0.5269691,,,,
1,0.6738324,,,,
1,0.9380511,,,,
1,0.5375091,,,,
0,0.4332492,,,,
1,0.436599,,,,
1,0.6472057,,,,
1,0.4525172,,,,
0,0.4652456,,,,
1,0.4835039,,,,
1,0.447472,,,,
1,0.5350747,,,,
1,1.0161717,,,,
1,0.3733604,,,,
1,0.3743324,,,,
1,0.4412577,,,,
1,0.3915309,,,,
1,0.7006641,,,,
1,0.3390792,,,,
1,0.4613964,,,,
1,0.5542397,,,,
1,0.4318889,,,,
1,0.5380633,,,,
1,0.3939469,,,,
1,0.5675284,,,,
1,0.5520159,,,,
1,0.4449369,,,,
1,0.3852969,,,,
1,0.3693291,,,,
1,0.3487153,,,,
1,0.595449,,,,
1,0.3465069,,,,
1,0.3969017,,,,
1,0.3824401,,,,
1,0.4333708,,,,
1,0.8339542,,,,
1,0.4682696,,,,
1,0.3204839,,,,
1,0.8906214,,,,
1,0.6085214,,,,
1,0.735241,,,,
1,0.8901546,,,,
1,0.561877,,,,
1,0.4840488,,,,
1,0.6569559,,,,
1,0.3966395,,,,
1,0.4103828,,,,
1,0.4577079,,,,
1,0.5716099,,,,
1,0.5548752,,,,
1,0.7758281,,,,
1,0.4618134,,,,
1,0.3792403,,,,
1,0.3513298,,,,
1,0.4429205,,,,
1,0.4300852,,,,
1,0.4044722,,,,
1,0.4493047,,,,
1,0.4152189,,,,
1,0.3605794,,,,
1,0.4641484,,,,
1,0.5332431,,,,
1,0.3951898,,,,
1,0.4109801,,,,
1,0.4041686,,,,
0,0.4414088,,,,
1,0.4066728,,,,
1,0.4004085,,,,
1,0.4504283,,,,
1,0.4480914,,,,
1,0.7756512,,,,
1,0.4044225,,,,
1,0.5399702,,,,
1,0.6219053,,,,
1,0.4036376,,,,
1,0.442394,,,,
1,55.7558912,,,,
1,19.9840713,,,,
1,0.4859704,,,,
1,0.3704431,,,,
